# id seg1 seg2 log10Jsquare_ave log10Jsquare_std J_Sti
98 5 607 -6.19297e+00 9.14383e-01 2.058345687e-13
99 5 758 -5.85581e+00 3.19855e-01 1.196974818e-14
100 5 769 -4.04593e+00 6.29670e-01 2.373747191e-09
101 5 772 -7.15947e+00 4.28953e-01 4.760947964e-13
102 6 24 -8.00874e+00 1.23739e-01 2.889592671e-18
103 6 79 -6.86533e+00 5.71166e-01 5.595692183e-14
104 6 149 -6.47893e+00 1.80752e-01 0.000000000e+00
105 6 328 -1.06279e+01 6.27947e-01 2.942838341e-19
106 6 487 -5.60731e+00 2.39659e-01 0.000000000e+00
107 6 491 -9.70485e+00 1.46996e+00 1.022103302e-17
108 6 562 -6.38759e+00 6.88791e-01 0.000000000e+00
109 6 696 -4.02594e+00 4.58868e-01 2.695884369e-10
110 6 806 -8.30814e+00 1.45299e+00 1.580189982e-11
111 6 821 -4.14771e+00 5.60264e-01 4.084208446e-10
112 6 908 -6.83375e+00 2.73647e-01 0.000000000e+00
113 6 916 -4.79835e+00 3.52097e-01 1.438835382e-15
114 6 921 -6.22219e+00 8.75278e-01 1.053009296e-13
115 6 944 -4.38176e+00 2.67472e-01 2.369594192e-10
116 6 982 -2.97387e+00 8.35198e-01 0.000000000e+00
117 6 995 -8.97149e+00 8.46831e-01 1.551223159e-17
118 7 19 -4.69009e+00 3.52433e-01 4.424833476e-09
119 7 130 -7.71096e+00 8.66312e-01 0.000000000e+00
120 7 175 -7.98800e+00 6.99122e-01 0.000000000e+00
121 7 231 -7.42876e+00 7.42037e-01 0.000000000e+00
122 7 235 -8.84374e+00 4.42739e-01 0.000000000e+00
123 7 268 -6.42029e+00 1.53051e+00 0.000000000e+00
124 7 284 -3.74442e+00 5.08929e-01 0.000000000e+00
125 7 285 -9.37623e+00 5.71369e-01 6.074691135e-19
126 7 374 -5.84070e+00 1.51786e+00 7.977799686e-11
127 7 498 -8.52130e+00 6.69750e-01 0.000000000e+00
128 7 576 -2.29122e+00 4.48698e-01 6.798068228e-05
129 7 586 -5.21790e+00 6.17402e-01 0.000000000e+00
130 7 642 -3.45121e+00 4.99982e-01 0.000000000e+00
131 7 689 -9.55395e+00 8.81475e-01 1.424589669e-18
132 7 707 -7.55456e+00 1.30532e+00 0.000000000e+00
133 7 745 -7.74283e+00 1.28655e+00 5.000576417e-12
134 7 894 -4.33287e+00 6.82757e-01 0.000000000e+00
135 7 967 -6.01128e+00 9.75449e-01 2.683400279e-11
136 8 22 -6.81155e+00 1.04933e+00 1.223155225e-11
137 8 82 -4.95012e+00 5.93872e-01 7.239458414e-10
138 8 100 -5.60396e+00 7.75390e-01 5.222265385e-09
139 8 102 -8.32418e+00 4.73823e-01 1.273254534e-17
140 8 185 -5.25308e+00 8.05258e-01 9.174381247e-07
141 8 207 -9.00070e+00 1.69290e+00 1.634112461e-12
142 8 219 -7.07849e+00 1.07528e+00 1.032310282e-10
143 8 359 -9.29689e+00 1.69382e+00 1.826078374e-11
144 8 439 -5.12956e+00 1.86381e+00 6.356063016e-06
145 8 535 -4.79672e+00 6.31900e-01 6.705173326e-07
146 8 560 -3.50122e+00 4.28918e-01 9.445750132e-06
147 8 571 -6.58779e+00 4.57264e-01 2.233792974e-13
148 8 664 -5.38349e+00 1.05583e+00 1.189638147e-08
149 8 687 -5.85161e+00 8.37930e-01 2.747293766e-08
150 8 779 -8.66216e+00 5.25900e-01 3.516614461e-14
151 8 846 -8.23511e+00 9.26239e-01 2.257891403e-15
152 8 954 -3.70850e+00 5.60660e-01 1.534624667e-07
153 8 958 -6.15279e+00 7.84064e-01 1.377640506e-10
154 9 84 -3.82117e+00 5.79990e-01 1.212753407e-04
155 9 179 -6.02728e+00 7.76445e-01 3.563491585e-06
156 9 182 -5.30554e+00 7.46258e-01 5.941340456e-04
157 9 239 -8.16785e+00 7.98055e-01 4.315737712e-16
158 9 340 -7.17263e+00 2.06457e-01 1.532584001e-14
159 9 346 -5.68056e+00 5.49470e-01 2.365020311e-09
160 9 372 -5.46823e+00 1.36759e+00 4.466462800e-10
